Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
-----------------------------------------------
                0.00    0.02     600/600         void std::_Construct<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&>(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [69]
[68]     1.4    0.00    0.02     600         std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >::vector(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [68]
                0.00    0.02     600/600         std::vector<Particle*, std::allocator<Particle*> >* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*, std::vector<Particle*, std::allocator<Particle*> > >(__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*, std::allocator<std::vector<Particle*, std::allocator<Particle*> > >&) [72]
                0.00    0.00     600/600         std::_Vector_base<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >::_M_get_Tp_allocator() const [433]
                0.00    0.00     600/600         std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >::size() const [435]
                0.00    0.00     600/601         std::_Vector_base<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >::_Vector_base(unsigned long, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > const&) [427]
                0.00    0.00     600/1202        std::_Vector_base<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >::_M_get_Tp_allocator() [372]
                0.00    0.00     600/1203        std::__new_allocator<std::vector<Particle*, std::allocator<Particle*> > >::~__new_allocator() [371]
                0.00    0.00     600/600         std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >::end() const [434]
                0.00    0.00     600/600         std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >::begin() const [436]
-----------------------------------------------
                0.00    0.02     600/600         std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >* std::__do_uninit_fill_n<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [77]
[69]     1.4    0.00    0.02     600         void std::_Construct<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&>(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [69]
                0.00    0.02     600/600         std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >::vector(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [68]
                0.00    0.00     600/2403009     operator new(unsigned long, void*) [205]
                0.00    0.00     600/600         std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const& std::forward<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&>(std::remove_reference<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&>::type&) [441]
-----------------------------------------------
                0.00    0.02     600/600         std::vector<Particle*, std::allocator<Particle*> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*>(__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*) [67]
[70]     1.4    0.00    0.02     600         std::vector<Particle*, std::allocator<Particle*> >* std::__do_uninit_copy<__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*>(__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*) [70]
                0.00    0.02  360000/360000      void std::_Construct<std::vector<Particle*, std::allocator<Particle*> >, std::vector<Particle*, std::allocator<Particle*> > const&>(std::vector<Particle*, std::allocator<Particle*> >*, std::vector<Particle*, std::allocator<Particle*> > const&) [66]
                0.00    0.00  360600/360600      bool __gnu_cxx::operator!=<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >(__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > const&) [256]
                0.00    0.00  360000/360000      __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >::operator*() const [263]
                0.00    0.00  360000/721200      std::vector<Particle*, std::allocator<Particle*> >* std::__addressof<std::vector<Particle*, std::allocator<Particle*> > >(std::vector<Particle*, std::allocator<Particle*> >&) [229]
                0.00    0.00  360000/360000      __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >::operator++() [262]
-----------------------------------------------
                0.00    0.02     600/600         std::vector<Particle*, std::allocator<Particle*> >* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*, std::vector<Particle*, std::allocator<Particle*> > >(__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*, std::allocator<std::vector<Particle*, std::allocator<Particle*> > >&) [72]
[71]     1.4    0.00    0.02     600         std::vector<Particle*, std::allocator<Particle*> >* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*>(__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*) [71]
                0.00    0.02     600/600         std::vector<Particle*, std::allocator<Particle*> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*>(__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*) [67]
-----------------------------------------------
                0.00    0.02     600/600         std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >::vector(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [68]
[72]     1.4    0.00    0.02     600         std::vector<Particle*, std::allocator<Particle*> >* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*, std::vector<Particle*, std::allocator<Particle*> > >(__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*, std::allocator<std::vector<Particle*, std::allocator<Particle*> > >&) [72]
                0.00    0.02     600/600         std::vector<Particle*, std::allocator<Particle*> >* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*>(__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> > const*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >, std::vector<Particle*, std::allocator<Particle*> >*) [71]
-----------------------------------------------
                0.00    0.02       1/1           main [14]
[73]     1.4    0.00    0.02       1         CollisionGrid::initialize() [73]
                0.00    0.02       1/1           std::vector<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > >::resize(unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [76]
                0.00    0.00       1/1           std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >::vector(unsigned long, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > const&) [848]
                0.00    0.00       1/601         std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >::~vector() [431]
                0.00    0.00       1/1203        std::__new_allocator<std::vector<Particle*, std::allocator<Particle*> > >::~__new_allocator() [371]
-----------------------------------------------
                0.00    0.02       1/1           std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >* std::uninitialized_fill_n<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [78]
[74]     1.4    0.00    0.02       1         std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >* std::__uninitialized_fill_n<false>::__uninit_fill_n<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [74]
                0.00    0.02       1/1           std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >* std::__do_uninit_fill_n<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [77]
-----------------------------------------------
                0.00    0.02       1/1           std::vector<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > >::resize(unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [76]
[75]     1.4    0.00    0.02       1         std::vector<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > >::_M_fill_insert(__gnu_cxx::__normal_iterator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, std::vector<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > > >, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [75]
                0.00    0.02       1/1           std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >* std::__uninitialized_fill_n_a<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >&) [79]
                0.00    0.00       4/5           std::_Vector_base<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > >::_M_get_Tp_allocator() [718]
                0.00    0.00       2/2           std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >* std::__uninitialized_move_if_noexcept_a<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > >(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >&) [796]
                0.00    0.00       1/56495       __gnu_cxx::__normal_iterator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, std::vector<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > > >::base() const [317]
                0.00    0.00       1/1           std::vector<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > >::_M_check_len(unsigned long, char const*) const [801]
                0.00    0.00       1/1           std::_Vector_base<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > >::_M_allocate(unsigned long) [807]
                0.00    0.00       1/2           void std::_Destroy<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*>(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*) [797]
                0.00    0.00       1/2           std::_Vector_base<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > >::_M_deallocate(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long) [780]
-----------------------------------------------
                0.00    0.02       1/1           CollisionGrid::initialize() [73]
[76]     1.4    0.00    0.02       1         std::vector<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > >::resize(unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [76]
                0.00    0.02       1/1           std::vector<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > >::_M_fill_insert(__gnu_cxx::__normal_iterator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, std::vector<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > > >, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [75]
                0.00    0.00       2/6           std::vector<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > >::size() const [711]
                0.00    0.00       1/48          std::vector<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > >::end() [609]
-----------------------------------------------
                0.00    0.02       1/1           std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >* std::__uninitialized_fill_n<false>::__uninit_fill_n<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [74]
[77]     1.4    0.00    0.02       1         std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >* std::__do_uninit_fill_n<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [77]
                0.00    0.02     600/600         void std::_Construct<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&>(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [69]
                0.00    0.00     600/1200        std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >* std::__addressof<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >&) [374]
-----------------------------------------------
                0.00    0.02       1/1           std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >* std::__uninitialized_fill_n_a<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >&) [79]
[78]     1.4    0.00    0.02       1         std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >* std::uninitialized_fill_n<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >(std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >*, unsigned long, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > const&) [78]
